2 3
1.33333 3.66667
3.5 4.5
2 3

2.83333 5.16667
1.33333 3.66667
3.5 4.5
2.83333 5.16667

3.5 4.5
2.83333 5.16667
5 6
3.5 4.5

4.33333 6.66667
2.83333 5.16667
5 6
4.33333 6.66667

1.33333 3.66667
0.666667 4.33333
2.83333 5.16667
1.33333 3.66667

2.16667 5.83333
0.666667 4.33333
2.83333 5.16667
2.16667 5.83333

2.83333 5.16667
2.16667 5.83333
4.33333 6.66667
2.83333 5.16667

3.66667 7.33333
2.16667 5.83333
4.33333 6.66667
3.66667 7.33333

0.666667 4.33333
0 5
2.16667 5.83333
0.666667 4.33333

1.5 6.5
0 5
2.16667 5.83333
1.5 6.5

2.16667 5.83333
1.5 6.5
3.66667 7.33333
2.16667 5.83333

3 8
1.5 6.5
3.66667 7.33333
3 8

